,launch_year,main_category,usd_pledged_real,rank,last_usd_pledged_real
120,2017,Art,14861420.839999989,9,11923348.429999994
121,2017,Comics,11399983.589999996,10,11824587.700000001
122,2017,Crafts,2370537.8299999987,13,3102777.060000001
123,2017,Dance,1178890.93,15,1691505.7199999997
124,2017,Design,145674016.48999995,2,166070861.96999973
125,2017,Fashion,21817079.070000008,6,23140416.86000001
126,2017,Film & Video,27382016.390000008,4,34499381.74999996
127,2017,Food,15214570.98999999,8,16466345.620000005
128,2017,Games,147508548.7399998,1,136390248.88999978
129,2017,Journalism,1478315.8799999997,14,1927518.9100000001
130,2017,Music,18755110.939999994,7,20653512.379999995
131,2017,Photography,6023496.819999998,11,6199452.279999994
132,2017,Publishing,21910172.200000037,5,20522360.580000002
133,2017,Technology,121498736.30000003,3,134264306.09
134,2017,Theater,2973616.890000001,12,4526706.3199999975
